obj,estimator,delta_deg,seed,f_max_level,progress,max_track_err,contact_lost_frac,peak_force,wrist_f_max
47315,,20.0,135915,50.0,0.03830669988023387,0.025152790430523892,0.9272727272727272,71.14569350112835,50.0
47315,,20.0,478683,50.0,0.6874461492125188,0.2650216802540784,0.2773109243697479,86.60254037844386,50.0
47315,,20.0,267677,50.0,0.33991821443611137,0.1562135819389938,0.7027027027027027,82.84458498996555,50.0
47315,,20.0,605224,50.0,0.042533496497131916,0.031993216326877044,0.923728813559322,86.60254037844386,50.0
47315,,20.0,949476,50.0,0.6743535734363821,0.08787875459029672,0.3963963963963964,86.60254037844386,50.0
47315,,20.0,151943,50.0,0.02260305187368584,0.04314199823075711,0.9322033898305084,86.60254037844386,50.0
47315,,20.0,755453,50.0,0.039203195978837334,0.15606317160742075,0.9243697478991597,86.60254037844386,50.0
47315,,20.0,536433,50.0,0.0,0.15545096181524573,0.9,72.1409315476978,50.0
47315,,20.0,795444,50.0,0.0,0.1519323139535081,0.8,86.60254037844386,50.0
47315,,30.0,822524,50.0,0.0,0.15856769922595548,0.954954954954955,71.94555813883426,50.0
47315,,30.0,370205,50.0,0.6027584668003738,0.7152715063942103,0.05042016806722689,86.60254037844386,50.0
47315,,30.0,324122,50.0,0.0024231656298531325,0.026588235258578324,0.8362068965517241,75.3983917690402,50.0
47315,,30.0,472280,50.0,0.7190565150876241,0.7896980949093172,0.0,86.60254037844386,50.0
47315,,30.0,165080,50.0,0.4215590586978978,0.2068802676551609,0.0,76.02410137323523,50.0
47315,,30.0,173319,50.0,0.725508606399116,0.7226854071229187,0.0,86.60254037844386,50.0
47315,,30.0,789407,50.0,0.004492174235112991,0.020375437620556172,0.9565217391304348,70.83057287062599,50.0
47315,,30.0,108880,50.0,0.8288030292200278,0.7783055525117483,0.0,86.60254037844386,50.0
47315,,30.0,383618,50.0,0.0,0.15443219066880026,0.9137931034482759,70.97700400282339,50.0
47315,,30.0,304810,50.0,0.7082661409781827,0.6686513436587624,0.0,86.60254037844386,50.0
47315,,45.0,1060863,50.0,0.6788767780012646,1.0911950817718874,0.0,86.60254037844386,50.0
47315,,45.0,137796,50.0,0.024309613926661304,0.16744711312256785,0.8376068376068376,71.5558621303226,50.0
47315,,45.0,628588,50.0,0.3679645130759686,0.6617504317183148,0.0,86.60254037844386,50.0
47315,,45.0,508026,50.0,0.0,0.020848442306695886,0.9553571428571429,70.82957546243084,50.0
47315,,45.0,840820,50.0,0.5516961640405196,0.8316439367597954,0.0,80.79091473497412,50.0
47315,,45.0,531494,50.0,0.6691068290615649,0.5854394279945372,0.2072072072072072,86.60254037844386,50.0
47315,,45.0,499899,50.0,0.6678543006098713,0.5378757535237393,0.22522522522522523,86.60254037844386,50.0
47315,,45.0,849895,50.0,0.6983670317279704,1.084836288192416,0.0,86.60254037844386,50.0
47315,,45.0,756912,50.0,0.7067306281652143,1.106519904105386,0.0,86.60254037844386,50.0
47315,,45.0,954191,50.0,0.0,0.1984098410303131,0.22807017543859648,86.60254037844386,50.0
48271,,0.0,459337,50.0,1.2008882446757136,0.49712553227744,0.8125,86.60254037844386,50.0
48271,,0.0,910740,50.0,1.4949111015623113,0.5498160098405365,0.0,86.60254037844386,50.0
48271,,0.0,414892,50.0,0.9129145654112346,0.20707400664535433,0.0,86.60254037844386,50.0
48271,,0.0,242597,50.0,1.4562030359559155,0.3778965826560859,0.0,86.60254037844386,50.0
48271,,0.0,421225,50.0,1.5053205205112172,0.47972264175095847,0.0,86.60254037844386,50.0
48271,,0.0,861354,50.0,0.8396760094201743,0.33950302542808986,0.0,86.60254037844386,50.0
48271,,0.0,486349,50.0,0.821727438638166,0.590690211072717,0.0,86.60254037844386,50.0
48271,,0.0,910223,50.0,0.16372202033948563,0.6682297866999459,0.18421052631578946,86.60254037844386,50.0
48271,,0.0,1072277,50.0,1.050310215819375,0.22148276801102595,0.0,86.60254037844386,50.0
48271,,0.0,344947,50.0,1.1045783054128573,0.6062273300763481,0.0,86.60254037844386,50.0
48271,,5.0,145290,50.0,1.5093934701609597,0.5583765109662577,0.0,86.60254037844386,50.0
48271,,5.0,125370,50.0,1.0344841433959249,0.47719936761461484,0.0,86.60254037844386,50.0
48271,,5.0,658926,50.0,0.798519572703361,0.2381047557338902,0.0,86.60254037844386,50.0
48271,,5.0,109253,50.0,1.1596012444715442,0.36489503087627484,0.0,86.60254037844386,50.0
48271,,5.0,234390,50.0,1.1044315983785877,0.5903562259771447,0.0,86.60254037844386,50.0
48271,,5.0,701290,50.0,0.8688154260195905,0.231507263985215,0.0,86.60254037844386,50.0
48271,,5.0,805524,50.0,1.2512165102569999,0.5009011972689574,0.0,86.60254037844386,50.0
48271,,5.0,462055,50.0,1.4961472281556805,0.4964867371644105,0.0,86.60254037844386,50.0
48271,,5.0,631899,50.0,0.9731802663514363,0.5394163173480302,0.0,86.60254037844386,50.0
48271,,5.0,157145,50.0,1.129935215236606,0.5086294775690476,0.0,86.60254037844386,50.0
48271,,10.0,551571,50.0,1.0666633344842282,0.14950699491698952,0.0,86.60254037844386,50.0
48271,,10.0,96325,50.0,0.21616304643423556,0.5315349309953926,0.23076923076923078,86.60254037844386,50.0
48271,,10.0,575396,50.0,1.0167888697175533,0.5704581928298001,0.0,86.60254037844386,50.0
48271,,10.0,144503,50.0,1.0663326185685205,0.14535581493354607,0.0,86.60254037844386,50.0
48271,,10.0,270405,50.0,0.6873510791466366,0.603095611935053,0.0,86.60254037844386,50.0
48271,,10.0,1068392,50.0,0.9215600449242771,0.5510088126894639,0.0,86.60254037844386,50.0
48271,,10.0,116263,50.0,1.0373724310255779,0.29193415484315977,0.0,86.60254037844386,50.0
48271,,10.0,689692,50.0,0.0,0.5802693139290208,0.12612612612612611,86.60254037844386,50.0
48271,,10.0,1049064,50.0,1.5154967020993246,0.6416969776255418,0.0,86.60254037844386,50.0
48271,,10.0,373678,50.0,1.4918160153521647,0.3705042189297228,0.940677966101695,86.60254037844386,50.0
48271,,15.0,489807,50.0,0.17474746579133882,0.7023697530016783,0.37719298245614036,86.60254037844386,50.0
48271,,15.0,156800,50.0,1.0802658768627014,0.5628050865934728,0.0,86.60254037844386,50.0
48271,,15.0,448930,50.0,0.0,0.5936707284343014,0.49557522123893805,86.60254037844386,50.0
48271,,15.0,1011187,50.0,1.0608774359843136,0.2603551995570589,0.0,86.60254037844386,50.0
48271,,15.0,542171,50.0,0.7630929380984013,0.602151500415896,0.0,86.60254037844386,50.0
48271,,15.0,873800,50.0,1.1045587999204725,0.39086712001033164,0.0,86.60254037844386,50.0
48271,,15.0,147299,50.0,1.245087478229471,0.5103468124205356,0.0,86.60254037844386,50.0
48271,,15.0,607985,50.0,1.4853480021395882,0.4879655491192742,0.0,86.60254037844386,50.0
48271,,15.0,460769,50.0,1.53656525993737,0.5519169941230032,0.0,86.60254037844386,50.0
48271,,15.0,654833,50.0,1.4933698502202182,0.6331839934004775,0.0,86.60254037844386,50.0
48271,,20.0,463092,50.0,0.9969648919174118,0.26520086819236266,0.0,86.60254037844386,50.0
48271,,20.0,1055658,50.0,1.02217267286755,0.25740087431151926,0.0,86.60254037844386,50.0
48271,,20.0,293632,50.0,0.051640155002123524,0.2505373830266351,0.5446428571428571,86.60254037844386,50.0
48271,,20.0,120773,50.0,0.9338388792810409,0.4857156790710747,0.0,86.60254037844386,50.0
48271,,20.0,1004298,50.0,1.4855263602838433,0.4861679414821042,0.0,86.60254037844386,50.0
48271,,20.0,1058231,50.0,1.2559207204245153,0.41011619090951784,0.0,86.60254037844386,50.0
48271,,20.0,1081323,50.0,1.278643366408094,0.4832297686306835,0.0,86.60254037844386,50.0
48271,,20.0,223280,50.0,1.163809148420788,0.24735385624402353,0.0,86.60254037844386,50.0
48271,,20.0,674556,50.0,0.7404001583981666,0.437303305505441,0.017543859649122806,86.60254037844386,50.0
48271,,20.0,435396,50.0,0.8715977798114344,0.1876074502372679,0.0,86.60254037844386,50.0
48271,,30.0,427827,50.0,0.9190825148784081,0.33136664274134303,0.0,86.60254037844386,50.0
48271,,30.0,963505,50.0,1.1102227804918963,0.5719480707321729,0.0,86.60254037844386,50.0
48271,,30.0,773498,50.0,0.0618917986640704,0.34893696861989754,0.336283185840708,86.60254037844386,50.0
48271,,30.0,875088,50.0,0.08768937338796363,0.474195438583902,0.06086956521739131,86.60254037844386,50.0
48271,,30.0,943702,50.0,0.015014874311152069,0.3903816193766955,0.3644067796610169,86.60254037844386,50.0
48271,,30.0,407265,50.0,1.2233254929178017,0.6500179141143293,0.0,86.60254037844386,50.0
48271,,30.0,374796,50.0,0.9838785216891452,0.585130398372078,0.831858407079646,86.60254037844386,50.0
48271,,30.0,792634,50.0,0.8700046992508985,0.3566823539756563,0.0,86.60254037844386,50.0
48271,,30.0,920368,50.0,0.9780480098186577,0.31888763577333906,0.017094017094017096,86.60254037844386,50.0
